"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","SA1","REM"
"99843599999","2021-01-01T00:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0008,1","+9999,9","10267,1","3,1,036,1,+999,9",,"SYN042OBGN6 46/// ///// 11008 40267 53036 90000="
"99843599999","2021-01-01T01:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0009,1","+9999,9","10274,1","1,1,033,1,+999,9",,"SYN042OBGN6 46/// ///// 11009 40274 51033 90100="
"99843599999","2021-01-01T02:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0011,1","+9999,9","10285,1","1,1,031,1,+999,9",,"SYN042OBGN6 46/// ///// 11011 40285 51031 90200="
"99843599999","2021-01-01T03:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0017,1","+9999,9","10296,1","3,1,029,1,+999,9",,"SYN042OBGN6 46/// ///// 11017 40296 53029 90300="
"99843599999","2021-01-01T04:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0013,1","+9999,9","10304,1","1,1,030,1,+999,9",,"SYN042OBGN6 46/// ///// 11013 40304 51030 90400="
"99843599999","2021-01-01T05:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0012,1","+9999,9","10309,1","1,1,024,1,+999,9",,"SYN042OBGN6 46/// ///// 11012 40309 51024 90500="
"99843599999","2021-01-01T06:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0015,1","+9999,9","10313,1",,,"SYN036OBGN6 46/// ///// 11015 40313 90548="
"99843599999","2021-01-01T07:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0021,1","+9999,9","10315,1","2,1,011,1,+999,9",,"SYN042OBGN6 46/// ///// 11021 40315 52011 90700="
"99843599999","2021-01-01T09:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0022,1","+9999,9","10318,1",,,"SYN036OBGN6 46/// ///// 11022 40318 90854="
"99843599999","2021-01-01T10:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0021,1","+9999,9","10317,1","4,1,000,1,+999,9",,"SYN042OBGN6 46/// ///// 11021 40317 54000 91000="
"99843599999","2021-01-01T11:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0018,1","+9999,9","10324,1",,,"SYN036OBGN6 46/// ///// 11018 40324 91118="
"99843599999","2021-01-01T12:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0017,1","+9999,9","10325,1",,,"SYN036OBGN6 46/// ///// 11017 40325 91136="
"99843599999","2021-01-01T13:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0016,1","+9999,9","10322,1","2,1,005,1,+999,9",,"SYN042OBGN6 46/// ///// 11016 40322 52005 91300="
"99843599999","2021-01-01T14:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0014,1","+9999,9","10323,1",,,"SYN036OBGN6 46/// ///// 11014 40323 91336="
"99843599999","2021-01-01T15:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0006,1","+9999,9","10325,1",,,"SYN036OBGN6 46/// ///// 11006 40325 91436="
