"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM","EQD"
"99800999999","2021-01-01T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0021,1","+9999,9","99999,9",,,"5,99,0108,1,999","SYN040RPRN6 46/// /1318 10021 91940 333 91221=",
"99800999999","2021-01-01T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9",,,"5,99,0098,1,999","SYN040RPRN6 46/// /1315 10020 92040 333 91219=",
"99800999999","2021-01-01T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","110,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0004,1","+9999,9","99999,9",,,"5,99,0082,1,999","SYN040RPRN6 46/// /1115 10004 92310 333 91216=",
"99800999999","2021-01-02T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","120,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0004,1","+9999,9","99999,9",,,"5,99,0093,1,999","SYN040RPRN6 46/// /1216 10004 90000 333 91218=",
"99800999999","2021-01-02T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","120,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,,"5,99,0098,1,999","SYN040RPRN6 46/// /1215 10008 90210 333 91219=",
"99800999999","2021-01-02T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,,"5,99,0098,1,999","SYN040RPRN6 46/// /1315 10010 90240 333 91219=",
"99800999999","2021-01-02T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0012,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /1313 10012 90400 333 91217=",
"99800999999","2021-01-02T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /1315 10014 90440 333 91217=",
"99800999999","2021-01-02T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","SHEF ","99999","V020","999,9,9,0062,1","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,
"99800999999","2021-01-02T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","100,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9",,,"5,99,0041,1,999","SYN040RPRN6 46/// /1007 10020 90710 333 91208=",
"99800999999","2021-01-02T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","100,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0021,1","+9999,9","99999,9",,,"5,99,0051,1,999","SYN040RPRN6 46/// /1009 10021 90740 333 91210=",
"99800999999","2021-01-02T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","140,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0021,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /1406 10021 90850 333 91207=",
"99800999999","2021-01-02T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","230,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0023,1","+9999,9","99999,9",,,"5,99,0021,1,999","SYN040RPRN6 46/// /2304 10023 91020 333 91204=",
"99800999999","2021-01-02T11:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0025,1","+9999,9","99999,9",,,"5,99,0031,1,999","SYN040RPRN6 46/// /2205 10025 91050 333 91206=",
