"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2021-01-01T00:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","040,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0051,1","+9999,9","10270,1","1,1,028,1,+999,9","5,99,0057,1,999","+049,1","SYN080BLTM2 46/// /0409 10051 40270 51028 90000 222// 00049 333 91211 555 11009 22010="
"99729699999","2021-01-01T01:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0050,1","+9999,9","10276,1","1,1,025,1,+999,9","5,99,0051,1,999","+047,1","SYN080BLTM2 46/// /0308 10050 40276 51025 90100 222// 00047 333 91210 555 11008 22009="
"99729699999","2021-01-01T02:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","020,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0049,1","+9999,9","10283,1","1,1,021,1,+999,9","5,99,0057,1,999","+049,1","SYN080BLTM2 46/// /0208 10049 40283 51021 90200 222// 00049 333 91211 555 11008 22009="
"99729699999","2021-01-01T03:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","010,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0045,1","+9999,9","10291,1","3,1,021,1,+999,9","5,99,0051,1,999","+048,1","SYN080BLTM2 46/// /0108 10045 40291 53021 90300 222// 00048 333 91210 555 11008 22009="
"99729699999","2021-01-01T04:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","020,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0040,1","+9999,9","10297,1","1,1,021,1,+999,9","5,99,0041,1,999","+048,1","SYN080BLTM2 46/// /0206 10040 40297 51021 90400 222// 00048 333 91208 555 11007 22007="
"99729699999","2021-01-01T05:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0033,1","+9999,9","10298,1","1,1,015,1,+999,9","5,99,0046,1,999","+048,1","SYN080BLTM2 46/// /0407 10033 40298 51015 90500 222// 00048 333 91209 555 11008 22008="
"99729699999","2021-01-01T06:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0029,1","+9999,9","10306,1","3,1,015,1,+999,9",,"+046,1","SYN054BLTM2 46/// ///// 10029 40306 53015 90600 222// 00046="
"99729699999","2021-01-01T07:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0023,1","+9999,9","10315,1","3,1,018,1,+999,9","5,99,0041,1,999","+046,1","SYN080BLTM2 46/// /0306 10023 40315 53018 90700 222// 00046 333 91208 555 11007 22007="
"99729699999","2021-01-01T08:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","040,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0018,1","+9999,9","10317,1","1,1,019,1,+999,9","5,99,0031,1,999","+049,1","SYN080BLTM2 46/// /0405 10018 40317 51019 90800 222// 00049 333 91206 555 11005 22006="
"99729699999","2021-01-01T09:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0016,1","+9999,9","10317,1","1,1,011,1,+999,9","5,99,0036,1,999","+047,1","SYN080BLTM2 46/// /0306 10016 40317 51011 90900 222// 00047 333 91207 555 11006 22007="
