"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2022-01-01T00:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","140,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0104,1","+9999,9","10126,1","1,1,010,1,+999,9","5,99,0036,1,999","+074,1","SYN080BLTM2 46/// /1403 10104 40126 51010 90000 222// 00074 333 91207 555 11003 22004="
"99729699999","2022-01-01T01:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","140,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0102,1","+9999,9","10129,1","1,1,008,1,+999,9","5,99,0041,1,999","+075,1","SYN080BLTM2 46/// /1404 10102 40129 51008 90100 222// 00075 333 91208 555 11004 22004="
"99729699999","2022-01-01T02:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0096,1","+9999,9","10122,1","8,1,003,1,+999,9","5,99,0036,1,999","+075,1","SYN080BLTM2 46/// /1704 10096 40122 58003 90200 222// 00075 333 91207 555 11004 22004="
"99729699999","2022-01-01T03:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0100,1","+9999,9","10128,1","5,1,000,1,+999,9","5,99,0026,1,999","+075,1","SYN080BLTM2 46/// /1603 10100 40128 55000 90300 222// 00075 333 91205 555 11003 22003="
"99729699999","2022-01-01T04:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","150,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0100,1","+9999,9","10120,1","8,1,009,1,+999,9","5,99,0026,1,999","+075,1","SYN080BLTM2 46/// /1502 10100 40120 58009 90400 222// 00075 333 91205 555 11002 22002="
"99729699999","2022-01-01T05:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0098,1","+9999,9","10109,1","8,1,013,1,+999,9","5,99,0036,1,999","+076,1","SYN080BLTM2 46/// /1704 10098 40109 58013 90500 222// 00076 333 91207 555 11004 22004="
"99729699999","2022-01-01T06:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","200,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0096,1","+9999,9","10105,1","6,1,023,1,+999,9","5,99,0010,1,999","+076,1","SYN080BLTM2 46/// /2001 10096 40105 56023 90600 222// 00076 333 91202 555 11001 22002="
"99729699999","2022-01-01T07:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0091,1","+9999,9","10102,1","6,1,018,1,+999,9","5,99,0010,1,999","+076,1","SYN080BLTM2 46/// /1601 10091 40102 56018 90700 222// 00076 333 91202 555 11001 22001="
"99729699999","2022-01-01T08:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0099,1","+9999,9","10102,1","6,1,007,1,+999,9","5,99,0005,1,999","+075,1","SYN080BLTM2 46/// /0000 10099 40102 56007 90800 222// 00075 333 91201 555 11001 22001="
"99729699999","2022-01-01T09:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","090,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0105,1","+9999,9","10095,1","8,1,010,1,+999,9","5,99,0010,1,999","+075,1","SYN080BLTM2 46/// /0901 10105 40095 58010 90900 222// 00075 333 91202 555 11001 22001="
