"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","SA1","REM"
"99843599999","2022-01-01T20:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0011,1","+9999,9","10056,1","3,1,005,1,+999,9",,"SYN042OBGN6 46/// ///// 10011 40056 53005 92000="
"99843599999","2022-01-01T21:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","10068,1","3,1,017,1,+999,9",,"SYN042OBGN6 46/// ///// 10014 40068 53017 92100="
"99843599999","2022-01-01T22:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","10068,1","1,1,019,1,+999,9",,"SYN042OBGN6 46/// ///// 10014 40068 51019 92200="
"99843599999","2022-01-01T23:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","10067,1","1,1,011,1,+999,9",,"SYN042OBGN6 46/// ///// 10014 40067 51011 92300="
"99843599999","2022-01-02T00:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","10072,1","3,1,004,1,+999,9",,"SYN042OBGN6 46/// ///// 10014 40072 53004 90000="
"99843599999","2022-01-02T01:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0002,1","+9999,9","10083,1","3,1,015,1,+999,9",,"SYN042OBGN6 46/// ///// 11002 40083 53015 90100="
"99843599999","2022-01-02T02:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0011,1","+9999,9","10082,1","1,1,015,1,+999,9",,"SYN042OBGN6 46/// ///// 11011 40082 51015 90200="
"99843599999","2022-01-02T03:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0018,1","+9999,9","10075,1","9,9,003,1,+999,9",,"SYN042OBGN6 46/// ///// 11018 40075 50003 90300="
"99843599999","2022-01-02T04:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","10075,1","7,1,008,1,+999,9",,"SYN042OBGN6 46/// ///// 11027 40075 57008 90400="
"99843599999","2022-01-02T05:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0036,1","+9999,9","10076,1","6,1,006,1,+999,9",,"SYN042OBGN6 46/// ///// 11036 40076 56006 90500="
