"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AW1","AW2","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2022-06-23T11:56:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","160,5,N,0026,5","00427,5,M,N","016093,5,N,5","+0160,C","+0120,C","99999,9",,,,,,,,,,"08,5,+00427,5,99,9",,,"4,99,1,+00427,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00427,1,99,9,99,9","10149,5,10011,5",,,,,"MET07806/23/22 06:56:02 METAR KSCH 231156Z 16005KT 10SM OVC014 16/12 A2997 RMK FIRST","R01    167TMP046R02    127DPT046"
"74499404741","2022-06-23T12:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","170,5,N,0031,5","00427,5,M,N","016093,5,N,5","+0160,C","+0130,C","99999,9",,,,,,,,,,"07,5,+00427,5,99,9","08,5,+00610,5,99,9",,"3,99,1,+00427,5,9","4,99,1,+00610,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00427,1,99,9,99,9","10156,5,10018,5",,,,,"MET07906/23/22 07:49:02 METAR KSCH 231249Z 17006KT 10SM BKN014 OVC020 16/13 A2999 RMK","R01    167TMP046R02    137DPT046"
"74499404741","2022-06-23T13:53:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","170,5,N,0031,5","00579,5,M,N","016093,5,N,5","+0160,C","+0160,C","99999,9",,,,,,,,,,"08,5,+00579,5,99,9",,,"4,99,1,+00579,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9","10159,5,10021,5",,,,,"MET07206/23/22 08:53:02 METAR KSCH 231353Z 17006KT 10SM OVC019 16/16 A3000 RMK","R01    167TMP046R02    167DPT046"
"74499404741","2022-06-23T14:51:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","170,5,N,0026,5","01494,5,M,N","016093,5,N,5","+0170,C","+0170,C","99999,9",,,,,,,,,,"08,5,+01494,5,99,9",,,"4,99,1,+01494,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01494,1,99,9,99,9","10166,5,10028,5",,,,,"MET07206/23/22 09:51:02 METAR KSCH 231451Z 17005KT 10SM OVC049 17/17 A3002 RMK","R01    177TMP046R02    177DPT046"
"74499404741","2022-06-23T15:58:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","160,5,N,0021,5","01524,5,M,N","008047,5,N,5","+0170,C","+0170,C","99999,9",,,,,,,,,,"04,5,+00396,5,99,9","07,5,+01524,5,99,9","08,5,+01829,5,99,9","2,99,1,+00396,5,9","3,99,1,+01524,5,9","4,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9","10169,5,10031,5",,,,,"MET08506/23/22 10:58:02 METAR KSCH 231558Z 16004KT 5SM SCT013 BKN050 OVC060 17/17 A3003 RMK","R01    177TMP046R02    177DPT046"
"74499404741","2022-06-23T17:53:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","200,5,N,0041,5","03658,5,M,N","016093,5,N,5","+0180,C","+0180,C","99999,9",,,,,,,,,,"04,5,+00701,5,99,9","07,5,+03658,5,99,9",,"2,99,1,+00701,5,9","3,99,1,+03658,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10156,5,10018,5",,,,,"MET07906/23/22 12:53:02 METAR KSCH 231753Z 20008KT 10SM SCT023 BKN120 18/18 A2999 RMK","R01    187TMP046R02    187DPT046"
"74499404741","2022-06-23T18:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","170,5,N,0031,5","01372,5,M,N","024140,5,N,5","+0210,C","+0140,C","99999,9",,,,,,,,,,"04,5,+00762,5,99,9","07,5,+01372,5,99,9","08,5,+01829,5,99,9","2,99,1,+00762,5,9","3,99,1,+01372,5,9","4,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10156,5,10018,5",,,,,"MET08606/23/22 13:55:02 METAR KSCH 231855Z 17006KT 15SM SCT025 BKN045 OVC060 21/14 A2999 RMK","R01    217TMP046R02    147DPT046"
"74499404741","2022-06-23T20:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","240,5,N,0021,5","01372,5,M,N","024140,5,N,5","+0220,C","+0140,C","99999,9",,,,,,,,,,"04,5,+00762,5,99,9","07,5,+01372,5,99,9","07,5,+02438,5,99,9","2,99,1,+00762,5,9","3,99,1,+01372,5,9","3,99,1,+02438,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10149,5,10011,5",,,,,"MET08606/23/22 15:55:02 METAR KSCH 232055Z 24004KT 15SM SCT025 BKN045 BKN080 22/14 A2997 RMK","R01    227TMP046R02    147DPT046"
"74499404741","2022-06-23T21:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","240,5,N,0021,5","02438,5,M,N","024140,5,N,5","+0220,C","+0140,C","99999,9",,,,,,,,,,"02,5,+01372,5,99,9","07,5,+02438,5,99,9","07,5,+04572,5,99,9","1,99,1,+01372,5,9","3,99,1,+02438,5,9","3,99,1,+04572,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10146,5,10008,5",,,,,"MET08606/23/22 16:47:02 METAR KSCH 232147Z 24004KT 15SM FEW045 BKN080 BKN150 22/14 A2996 RMK","R01    227TMP046R02    147DPT046"
"74499404741","2022-06-23T22:48:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","140,5,N,0015,5","22000,5,9,N","024140,5,N,5","+0230,C","+0140,C","99999,9",,,,,,,,,,"02,5,+01372,5,99,9","04,5,+02438,5,99,9","04,5,+04572,5,99,9","1,99,1,+01372,5,9","2,99,1,+02438,5,9","2,99,1,+04572,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10149,5,10011,5",,,,,"MET08606/23/22 17:48:02 METAR KSCH 232248Z 14003KT 15SM FEW045 SCT080 SCT150 23/14 A2997 RMK","R01    237TMP046R02    147DPT046D01      0ADE726"
