"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM"
"99800999999","2022-01-01T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0047,1","+9999,9","10078,1",,"3,1,007,1,+999,9","5,99,0072,1,999","SYN052RPRN6 46/// /3212 10047 40078 53007 91900 333 91214="
"99800999999","2022-01-01T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","310,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0046,1","+9999,9","10078,1",,"5,1,000,1,+999,9","5,99,0036,1,999","SYN052RPRN6 46/// /3107 10046 40078 55000 92000 333 91207="
"99800999999","2022-01-01T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0045,1","+9999,9","10081,1",,"1,1,013,1,+999,9","5,99,0057,1,999","SYN052RPRN6 46/// /3207 10045 40081 51013 92100 333 91211="
"99800999999","2022-01-01T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","360,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0048,1","+9999,9","10085,1",,"3,1,007,1,+999,9","5,99,0057,1,999","SYN052RPRN6 46/// /3609 10048 40085 53007 92200 333 91211="
"99800999999","2022-01-01T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0045,1","+9999,9","10088,1",,"2,1,010,1,+999,9","5,99,0051,1,999","SYN052RPRN6 46/// /0409 10045 40088 52010 92300 333 91210="
"99800999999","2022-01-02T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","050,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0042,1","+9999,9","10088,1",,"1,1,007,1,+999,9","5,99,0082,1,999","SYN052RPRN6 46/// /0513 10042 40088 51007 90000 333 91216="
"99800999999","2022-01-02T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0039,1","+9999,9","10091,1",,"2,1,006,1,+999,9","5,99,0093,1,999","SYN052RPRN6 46/// /0415 10039 40091 52006 90100 333 91218="
"99800999999","2022-01-02T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0033,1","+9999,9","10088,1",,"9,9,000,1,+999,9","5,99,0088,1,999","SYN052RPRN6 46/// /0414 10033 40088 50000 90200 333 91217="
"99800999999","2022-01-02T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0022,1","+9999,9","10088,1",,"9,9,000,1,+999,9","5,99,0113,1,999","SYN052RPRN6 46/// /0318 10022 40088 50000 90300 333 91222="
"99800999999","2022-01-02T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","10088,1",,"6,1,003,1,+999,9","5,99,0118,1,999","SYN052RPRN6 46/// /0318 10010 40088 56003 90400 333 91223="
