"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AU1","AU2","AW1","AW2","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2020-06-19T12:54:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","250,5,N,0015,5","01981,5,M,N","024140,5,N,5","+0240,C","+0180,C","99999,9",,,,,,,,"07,5,+01981,5,99,9",,,"3,99,1,+01981,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01981,1,99,9,99,9","10210,5,10072,5",,,,,"MET07206/19/20 07:54:02 METAR KSCH 191254Z 25003KT 15SM BKN065 24/18 A3015 RMK","R01    247TMP046R02    187DPT046"
"74499404741","2020-06-19T13:52:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","220,5,N,0021,5","01981,5,M,N","024140,5,N,5","+0250,C","+0180,C","99999,9",,,,,,,,"04,5,+00762,5,99,9","07,5,+01981,5,99,9",,"2,99,1,+00762,5,9","3,99,1,+01981,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10203,5,10065,5",,,,,"MET07906/19/20 08:52:02 METAR KSCH 191352Z 22004KT 15SM SCT025 BKN065 25/18 A3013 RMK","R01    257TMP046R02    187DPT046"
"74499404741","2020-06-19T14:59:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","01981,5,M,N","024140,5,N,5","+0270,C","+0170,C","99999,9",,,,,,,,"04,5,+00762,5,99,9","07,5,+01981,5,99,9",,"2,99,1,+00762,5,9","3,99,1,+01981,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10203,5,10065,5",,,,,"MET07906/19/20 09:59:02 METAR KSCH 191459Z 00000KT 15SM SCT025 BKN065 27/17 A3013 RMK","R01    277TMP046R02    177DPT046"
"74499404741","2020-06-19T15:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","320,5,N,0021,5","01158,5,M,N","024140,5,N,5","+0270,C","+0170,C","99999,9",,,,,,,,"07,5,+01158,5,99,9","07,5,+01433,5,99,9",,"3,99,1,+01158,5,9","3,99,1,+01433,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01158,1,99,9,99,9","10193,5,10055,5",,,,,"MET07906/19/20 10:55:02 METAR KSCH 191555Z 32004KT 15SM BKN038 BKN047 27/17 A3010 RMK","R01    277TMP046R02    177DPT046"
"74499404741","2020-06-19T16:58:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","22000,5,9,N","024140,5,N,5","+0280,C","+0160,C","99999,9",,,,,,,,"04,5,+01524,5,99,9","04,5,+01829,5,99,9","04,5,+02134,5,99,9","2,99,1,+01524,5,9","2,99,1,+01829,5,9","2,99,1,+02134,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10186,5,10048,5",,,,,"MET08606/19/20 11:58:02 METAR KSCH 191658Z 00000KT 15SM SCT050 SCT060 SCT070 28/16 A3008 RMK","R01    287TMP046R02    167DPT046D01      0ADE726"
"74499404741","2020-06-19T17:58:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","22000,5,9,N","024140,5,N,5","+0280,C","+0160,C","99999,9",,,,,,,,"04,5,+01524,5,99,9","04,5,+01829,5,99,9","04,5,+02134,5,99,9","2,99,1,+01524,5,9","2,99,1,+01829,5,9","2,99,1,+02134,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01341,1,99,9,99,9","10186,5,10048,5",,,,,"MET08606/19/20 12:58:02 METAR KSCH 191758Z 00000KT 15SM SCT050 SCT060 SCT070 28/16 A3008 RMK","R01    287TMP046R02    167DPT046D01      0ADE726"
"74499404741","2020-06-19T18:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","150,5,N,0026,5","22000,5,9,N","024140,5,N,5","+0310,C","+0150,C","99999,9",,,,,,,,"02,5,+01372,5,99,9","04,5,+02438,5,99,9",,"1,99,1,+01372,5,9","2,99,1,+02438,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10176,5,10038,5",,,,,"MET07906/19/20 13:55:02 METAR KSCH 191855Z 15005KT 15SM FEW045 SCT080 31/15 A3005 RMK","R01    317TMP046R02    157DPT046D01      0ADE726"
"74499404741","2020-06-19T20:50:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","250,5,N,0021,5","22000,5,9,N","024140,5,N,5","+0310,C","+0140,C","99999,9",,,,,,,,"02,5,+01372,5,99,9","04,5,+02896,5,99,9",,"1,99,1,+01372,5,9","2,99,1,+02896,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10166,5,10028,5",,,,,"MET07906/19/20 15:50:02 METAR KSCH 192050Z 25004KT 15SM FEW045 SCT095 31/14 A3002 RMK","R01    317TMP046R02    147DPT046D01      0ADE726"
"74499404741","2020-06-19T21:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","190,5,N,0026,5","22000,5,9,N","024140,5,N,5","+0300,C","+0140,C","99999,9",,,,,,,,"02,5,+01372,5,99,9","04,5,+02896,5,99,9",,"1,99,1,+01372,5,9","2,99,1,+02896,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10163,5,10025,5",,,,,"MET07906/19/20 16:55:02 METAR KSCH 192155Z 19005KT 15SM FEW045 SCT095 30/14 A3001 RMK","R01    307TMP046R02    147DPT046D01      0ADE726"
"74499404741","2020-06-19T22:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","190,5,N,0031,5","22000,5,9,N","024140,5,N,5","+0290,C","+0150,C","99999,9",,,,,,,,"02,5,+01372,5,99,9","04,5,+02896,5,99,9",,"1,99,1,+01372,5,9","2,99,1,+02896,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10163,5,10025,5",,,,,"MET07906/19/20 17:49:02 METAR KSCH 192249Z 19006KT 15SM FEW045 SCT095 29/15 A3001 RMK","R01    297TMP046R02    157DPT046D01      0ADE726"
"74499404741","2020-06-19T23:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","210,5,N,0031,5","22000,5,9,N","024140,5,N,5","+0280,C","+0150,C","99999,9",,,,,,,,"02,5,+01372,5,99,9","02,5,+02896,5,99,9","04,5,+07620,5,99,9","1,99,1,+01372,5,9","1,99,1,+02896,5,9","2,99,1,+07620,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10163,5,10025,5",,,,,"MET08606/19/20 18:49:02 METAR KSCH 192349Z 21006KT 15SM FEW045 FEW095 SCT250 28/15 A3001 RMK","R01    287TMP046R02    157DPT046D01      0ADE726"
