"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2020-08-07T05:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0239,1","+9999,9","10176,1","4,1,000,1,+999,9","5,99,0031,1,999","+279,1","SYN080BLTM2 46/// /0804 10239 40176 54000 90500 222// 00279 333 91206 555 11005 22005="
"99729699999","2020-08-07T06:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","110,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0237,1","+9999,9","10173,1","8,1,006,1,+999,9","5,99,0015,1,999","+280,1","SYN080BLTM2 46/// /1102 10237 40173 58006 90600 222// 00280 333 91203 555 11002 22002="
"99729699999","2020-08-07T07:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","110,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0235,1","+9999,9","10175,1","4,1,000,1,+999,9","5,99,0026,1,999","+279,1","SYN080BLTM2 46/// /1105 10235 40175 54000 90700 222// 00279 333 91205 555 11005 22005="
"99729699999","2020-08-07T08:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","090,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0237,1","+9999,9","10175,1","5,1,000,1,+999,9","5,99,0026,1,999","+278,1","SYN080BLTM2 46/// /0903 10237 40175 55000 90800 222// 00278 333 91205 555 11003 22004="
"99729699999","2020-08-07T09:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","070,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0233,1","+9999,9","10172,1","9,9,000,1,+999,9","5,99,0036,1,999","+276,1","SYN080BLTM2 46/// /0706 10233 40172 50000 90900 222// 00276 333 91207 555 11006 22007="
"99729699999","2020-08-07T10:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","060,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0234,1","+9999,9","10180,1","3,1,005,1,+999,9","5,99,0021,1,999","+279,1","SYN080BLTM2 46/// /0603 10234 40180 53005 91000 222// 00279 333 91204 555 11003 22003="
"99729699999","2020-08-07T11:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0235,1","+9999,9","10182,1","3,1,007,1,+999,9","5,99,0026,1,999","+278,1","SYN080BLTM2 46/// /0504 10235 40182 53007 91100 222// 00278 333 91205 555 11004 22005="
"99729699999","2020-08-07T12:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0241,1","+9999,9","10186,1","1,1,014,1,+999,9","5,99,0031,1,999","+279,1","SYN080BLTM2 46/// /0804 10241 40186 51014 91200 222// 00279 333 91206 555 11005 22005="
"99729699999","2020-08-07T13:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","100,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0250,1","+9999,9","10188,1","2,1,008,1,+999,9","5,99,0031,1,999","+279,1","SYN080BLTM2 46/// /1005 10250 40188 52008 91300 222// 00279 333 91206 555 11005 22006="
"99729699999","2020-08-07T14:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0254,1","+9999,9","10188,1","1,1,006,1,+999,9","5,99,0036,1,999","+279,1","SYN080BLTM2 46/// /1605 10254 40188 51006 91400 222// 00279 333 91207 555 11005 22005="
"99729699999","2020-08-07T15:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0257,1","+9999,9","10188,1","4,1,000,1,+999,9","5,99,0046,1,999","+279,1","SYN080BLTM2 46/// /1605 10257 40188 54000 91500 222// 00279 333 91209 555 11006 22006="
"99729699999","2020-08-07T16:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0264,1","+9999,9","10185,1","8,1,003,1,+999,9","5,99,0046,1,999","+278,1","SYN080BLTM2 46/// /1708 10264 40185 58003 91600 222// 00278 333 91209 555 11008 22009="
"99729699999","2020-08-07T17:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0265,1","+9999,9","10184,1","7,1,004,1,+999,9",,"+279,1","SYN054BLTM2 46/// ///// 10265 40184 57004 91700 222// 00279="
"99729699999","2020-08-07T18:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0271,1","+9999,9","10181,1",,"5,99,0062,1,999","+279,1","SYN074BLTM2 46/// /1609 10271 40181 91736 222// 00279 333 91212 555 11009 22010="
"99729699999","2020-08-07T19:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0271,1","+9999,9","10176,1","7,1,009,1,+999,9","5,99,0062,1,999","+279,1","SYN080BLTM2 46/// /1709 10271 40176 57009 91900 222// 00279 333 91212 555 11009 22010="
"99729699999","2020-08-07T20:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0281,1","+9999,9","10164,1","7,1,020,1,+999,9","5,99,0051,1,999","+280,1","SYN080BLTM2 46/// /1608 10281 40164 57020 92000 222// 00280 333 91210 555 11008 22009="
