"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"99800999999","2020-01-01T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0003,1","+9999,9","99999,9",,"5,99,0082,1,999","SYN040RPRN6 46/// /2811 10003 91950 333 91216=",
"99800999999","2020-01-01T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0007,1","+9999,9","99999,9",,"5,99,0093,1,999","SYN040RPRN6 46/// /2711 10007 92040 333 91218=",
"99800999999","2020-01-01T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0006,1","+9999,9","99999,9",,"5,99,0082,1,999","SYN040RPRN6 46/// /2711 10006 92150 333 91216=",
"99800999999","2020-01-01T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0004,1","+9999,9","99999,9",,"5,99,0057,1,999","SYN040RPRN6 46/// /2809 10004 92240 333 91211=",
"99800999999","2020-01-02T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0002,1","+9999,9","99999,9",,"5,99,0041,1,999","SYN040RPRN6 46/// /2706 10002 92340 333 91208=",
"99800999999","2020-01-02T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0003,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /2504 11003 90040 333 91205=",
"99800999999","2020-01-02T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0003,1","+9999,9","99999,9",,"5,99,0021,1,999","SYN040RPRN6 46/// /2002 11003 90140 333 91204=",
"99800999999","2020-01-02T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0001,1","+9999,9","99999,9",,"5,99,0036,1,999","SYN040RPRN6 46/// /2106 10001 90240 333 91207=",
"99800999999","2020-01-02T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0005,1","+9999,9","99999,9",,"5,99,0041,1,999","SYN040RPRN6 46/// /2006 11005 90400 333 91208=",
"99800999999","2020-01-02T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0007,1","+9999,9","99999,9",,"5,99,0046,1,999","SYN040RPRN6 46/// /2006 11007 90440 333 91209=",
